episode_score,episode_number
0.0,1
-1.0,2
0.0,3
-2.0,4
1.0,5
1.0,6
1.0,7
-1.0,8
0.0,9
2.0,10
4.0,11
-1.0,12
0.0,13
3.0,14
1.0,15
-1.0,16
0.0,17
2.0,18
2.0,19
4.0,20
7.0,21
3.0,22
1.0,23
2.0,24
6.0,25
2.0,26
6.0,27
1.0,28
2.0,29
10.0,30
8.0,31
7.0,32
1.0,33
2.0,34
6.0,35
0.0,36
2.0,37
8.0,38
4.0,39
6.0,40
2.0,41
5.0,42
12.0,43
9.0,44
7.0,45
3.0,46
3.0,47
2.0,48
11.0,49
6.0,50
15.0,51
6.0,52
16.0,53
9.0,54
4.0,55
8.0,56
10.0,57
14.0,58
6.0,59
15.0,60
1.0,61
14.0,62
13.0,63
5.0,64
7.0,65
9.0,66
7.0,67
5.0,68
12.0,69
3.0,70
4.0,71
8.0,72
10.0,73
11.0,74
13.0,75
3.0,76
2.0,77
15.0,78
7.0,79
10.0,80
10.0,81
9.0,82
14.0,83
6.0,84
9.0,85
8.0,86
7.0,87
2.0,88
10.0,89
14.0,90
9.0,91
13.0,92
10.0,93
10.0,94
6.0,95
15.0,96
8.0,97
13.0,98
3.0,99
13.0,100
3.0,101
5.0,102
3.0,103
13.0,104
2.0,105
17.0,106
10.0,107
8.0,108
4.0,109
13.0,110
9.0,111
6.0,112
10.0,113
2.0,114
3.0,115
10.0,116
9.0,117
11.0,118
12.0,119
12.0,120
12.0,121
8.0,122
2.0,123
15.0,124
9.0,125
10.0,126
12.0,127
6.0,128
14.0,129
12.0,130
12.0,131
10.0,132
10.0,133
11.0,134
14.0,135
12.0,136
12.0,137
10.0,138
12.0,139
7.0,140
9.0,141
17.0,142
11.0,143
11.0,144
10.0,145
18.0,146
12.0,147
15.0,148
16.0,149
13.0,150
6.0,151
15.0,152
15.0,153
10.0,154
9.0,155
14.0,156
16.0,157
7.0,158
18.0,159
1.0,160
18.0,161
17.0,162
11.0,163
18.0,164
13.0,165
13.0,166
1.0,167
5.0,168
18.0,169
12.0,170
14.0,171
12.0,172
11.0,173
9.0,174
15.0,175
9.0,176
10.0,177
6.0,178
14.0,179
13.0,180
15.0,181
12.0,182
9.0,183
13.0,184
12.0,185
11.0,186
18.0,187
18.0,188
21.0,189
17.0,190
13.0,191
11.0,192
19.0,193
17.0,194
12.0,195
19.0,196
9.0,197
9.0,198
18.0,199
17.0,200
13.0,201
0.0,202
16.0,203
15.0,204
14.0,205
9.0,206
14.0,207
16.0,208
9.0,209
17.0,210
22.0,211
6.0,212
16.0,213
18.0,214
15.0,215
20.0,216
13.0,217
16.0,218
2.0,219
8.0,220
11.0,221
16.0,222
17.0,223
14.0,224
18.0,225
14.0,226
12.0,227
13.0,228
12.0,229
10.0,230
15.0,231
7.0,232
17.0,233
7.0,234
19.0,235
19.0,236
13.0,237
7.0,238
10.0,239
18.0,240
13.0,241
18.0,242
12.0,243
17.0,244
13.0,245
13.0,246
13.0,247
6.0,248
20.0,249
